file,source,x,y,z,censored,par_meas_w,par_sim_w,blue_meas_w,blue_sim_w,green_meas_w,green_sim_w,red_meas_w,red_sim_w
p151012-204913.csv,spectrum,15.0,10.0,12.0,False,0.018503796000000003,0.024724003581019654,0.012717807,0.01710755059211514,0.00574383,0.00659328038027779,4.2159e-05,0.001023172608626722
p15108-204010.csv,spectrum,15.0,10.0,8.0,False,0.251955737,0.23291492928677357,0.1821508745,0.16037602303039264,0.069507273,0.06502342448662973,0.0002975895,0.007515481769751205
p151510-204334.csv,spectrum,15.0,15.0,10.0,False,0.02414242,0.03931222165808965,0.0164328535,0.026763878945436997,0.0076488525,0.011445683712354347,6.0713999999999995e-05,0.001102659000298304
p151512-204845.csv,spectrum,15.0,15.0,12.0,False,0.019225112,0.019379726717129484,0.012814536,0.012681266150581847,0.0063486405,0.0058050024776433225,6.19355e-05,0.0008934580889043135
p15158-203940.csv,spectrum,15.0,15.0,8.0,False,0.025655931,0.07011736466640277,0.017533820000000002,0.047933869114174604,0.0080418435,0.019107828184477604,8.02675e-05,0.003075667367750558
p152010-204303.csv,spectrum,15.0,20.0,10.0,False,0.044978361,0.07579666281850252,0.030985731500000002,0.050205784685934327,0.013964739,0.023148475403538822,2.7890500000000003e-05,0.0024424027290293705
p152012-204817.csv,spectrum,15.0,20.0,12.0,False,0.008174198499999999,0.028697745212444156,0.005945996500000001,0.020417048948090644,0.002185765,0.0075443026362730335,4.2437e-05,0.0007363936280804771
p15208-203914.csv,spectrum,15.0,20.0,8.0,False,0.066971123,0.21967567060990256,0.0461545145,0.15105963200134795,0.020642496499999996,0.06275796197021966,0.00017411199999999998,0.0058580766383349615
p15510-204431.csv,spectrum,15.0,5.0,10.0,False,0.174946159,0.020494119882434915,0.1212715765,0.014962877813263149,0.053260445000000003,0.004560208540592264,0.00041413750000000003,0.0009710335285795013
p15512-204955.csv,summary,15.0,5.0,12.0,False,0.06275332,0.01004959358079487,0.04574717028,0.006300751090868292,0.0169433964,0.0026582863372608275,6.275332e-05,0.0010905561526657502
p1558-204031.csv,spectrum,15.0,5.0,8.0,False,0.143794714,0.03610348019451213,0.10313830300000001,0.023503942223025768,0.0404367675,0.010044887346170107,0.00021964349999999998,0.002554650625316256
p201010-210326.csv,summary,20.0,10.0,10.0,False,0.00752248,0.011481733006836664,0.00524316856,0.007269001706848905,0.0021288618400000002,0.0036707094600363158,0.00014292712,0.0005420218399514433
p201012-211033.csv,summary,20.0,10.0,12.0,False,0.022418970000000003,0.007963624011356533,0.01520006166,0.004904017869513105,0.007084394520000001,0.002799879120214536,0.00013451382,0.000259727021628892
p20108-205853.csv,summary,20.0,10.0,8.0,False,0.032069520000000004,0.017097184177854625,0.021743134560000002,0.012273638608853442,0.010198107360000002,0.004119782107713308,0.00016034760000000004,0.0007037634612878744
p201510-210259.csv,summary,20.0,15.0,10.0,False,0.017420480000000002,0.009276712895907693,0.012194336,0.006168943962873781,0.00510420064,0.0026141105652751242,0.00010452288000000001,0.0004936583677587877
p201512-211008.csv,summary,20.0,15.0,12.0,False,0.02489347,0.007403217224862698,0.017226281240000002,0.004540241552972943,0.00751782794,0.0023827207187351604,0.00014936082,0.00048025495315459475
p20158-205734.csv,summary,20.0,15.0,8.0,False,0.02167662,0.011190184883123665,0.014501658780000001,0.007035923734595086,0.0070449015,0.0036059248840936047,0.00013005972,0.0005483362644349744
p202010-210223.csv,summary,20.0,20.0,10.0,False,0.041373639999999996,0.01361273245952011,0.028920174360000002,0.009400682993088945,0.012412091999999998,0.0038612192436502293,4.1373639999999996e-05,0.0003508302227809361
p202012-210938.csv,summary,20.0,20.0,12.0,False,0.02281489,0.008003663934940909,0.015673829430000005,0.005014523864114012,0.007004171230000001,0.002819841850352128,0.00013688934000000003,0.00016929822047476913
p20208-205701.csv,summary,20.0,20.0,8.0,False,0.00163317,0.01774191737826419,0.001143219,0.011674235433130434,0.00033806619,0.005329145780825044,0.00015025164,0.0007385361643087116
