depth_m,x_m,y_m,irradiance_W_m2,illuminance_lux
1,1.88996,18.99912,0,0
1,1.88996,19.19807,0,0
1,1.88996,19.39701,0,0
1,2.08891,5.86884,0,0
1,2.08891,6.06778,0,0
1,2.08891,6.26673,0,0
1,2.08891,6.46567,0,0
1,2.08891,6.66461,0,0
1,2.08891,6.86356,0,0
1,2.08891,7.06250,0,0
1,2.08891,7.26144,0,0
1,2.08891,7.46039,0,0
1,2.08891,7.65933,0,0
1,2.08891,7.85828,0,0
1,2.08891,8.05722,0,0
1,2.08891,8.25616,0,0
1,2.08891,8.45511,0,0
1,2.08891,8.65405,0,0
1,2.08891,8.85299,0,0
1,2.08891,9.05194,0,0
1,2.08891,9.25088,0,0
1,2.08891,9.44982,0,0
1,2.08891,9.64877,0,0
1,2.08891,9.84771,0,0
1,2.08891,10.04666,0,0
1,2.08891,10.24560,0,0
1,2.08891,10.44454,0,0
1,2.08891,10.64349,0,0
1,2.08891,10.84243,0,0
1,2.08891,11.04137,0,0
1,2.08891,11.24032,0,0
1,2.08891,11.43926,0,0
1,2.08891,11.63821,0,0
1,2.08891,11.83715,0,0
1,2.08891,12.03609,0,0
1,2.08891,12.23504,0,0
1,2.08891,12.43398,0,0
1,2.08891,12.63292,0,0
1,2.08891,12.83187,0,0
1,2.08891,13.03081,0,0
1,2.08891,13.22975,0,0
1,2.08891,13.42870,0,0
1,2.08891,13.62764,0,0
1,2.08891,13.82659,0,0
1,2.08891,14.02553,0,0
1,2.08891,14.22447,0,0
1,2.08891,14.42342,0,0
1,2.08891,14.62236,0,0
1,2.08891,14.82130,0,0
1,2.08891,15.02025,0,0
1,2.08891,15.21919,0,0
1,2.08891,15.41814,0,0
1,2.08891,15.61708,0,0
1,2.08891,15.81602,0,0
1,2.08891,16.01497,0,0
1,2.08891,16.21391,0,0
1,2.08891,16.41285,0,0
1,2.08891,16.61180,0,0
1,2.08891,16.81074,0,0
1,2.08891,17.00968,0,0
1,2.08891,17.20863,0,0
1,2.08891,17.40757,0,0
1,2.08891,17.60652,0,0
1,2.08891,17.80546,0,0
1,2.08891,18.00440,0,0
1,2.08891,18.20335,0,0
1,2.08891,18.40229,0,0
1,2.08891,18.60123,0,0
1,2.08891,18.80018,0,0
1,2.08891,18.99912,0,0
1,2.08891,19.19807,0,0
1,2.08891,19.39701,0,0
1,2.08891,19.59595,0,0
1,2.28785,5.47095,0,0
1,2.28785,5.66989,0,0
1,2.28785,5.86884,0,0
1,2.28785,6.06778,0,0
1,2.28785,6.26673,0,0
1,2.28785,6.46567,0,0
1,2.28785,6.66461,0,0
1,2.28785,6.86356,0,0
1,2.28785,7.06250,0,0
1,2.28785,7.26144,0,0
1,2.28785,7.46039,0,0
1,2.28785,7.65933,0,0
1,2.28785,7.85828,0,0
1,2.28785,8.05722,0,0
1,2.28785,8.25616,0,0
1,2.28785,8.45511,0,0
1,2.28785,8.65405,0,0
1,2.28785,8.85299,0,0
1,2.28785,9.05194,0,0
1,2.28785,9.25088,0,0
1,2.28785,9.44982,0,0
1,2.28785,9.64877,0,0
1,2.28785,9.84771,0,0
1,2.28785,10.04666,0,0
