center_id,name,lat,lon,date,temperature_thetao_degC,salinity_so_psu,n_valid_temperature_cells,n_valid_salinity_cells,depth_request_m,depth_window_m,depth_levels_m,buffer_m,latitude_cells,longitude_cells,product_id,temperature_dataset,salinity_dataset,source
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-23,10.71523,31.33322,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-24,10.86765,31.26971,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-25,11.04671,31.20713,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-26,10.93037,30.99539,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-27,10.78632,30.76397,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-28,11.14297,31.0412,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-29,11.34443,31.37045,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-30,11.31437,31.17725,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-05-31,11.2648,30.7566,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-01,11.20551,30.28524,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-02,11.34944,30.45091,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-03,11.38408,31.00898,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-04,11.21883,30.6468,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-05,11.0815,30.45209,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-06,10.91678,30.20151,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-07,10.7993,29.70952,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-08,10.39108,29.13679,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-09,10.8048,29.68197,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-10,10.8072,30.15981,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-11,10.86249,30.58022,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-12,10.85043,30.60008,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-13,10.53686,30.45795,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-14,10.22469,30.151,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-15,10.114,29.85012,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-16,9.9508,30.03026,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-17,9.89629,30.37639,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-18,9.76315,30.271,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-19,9.77285,30.32993,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-20,10.08595,30.75107,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-21,10.05627,30.8805,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-22,9.88348,30.65648,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-23,9.73449,30.20447,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-24,9.99333,30.12507,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-25,10.05008,30.17672,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
bajos_lami,Bajos Lami,-41.8332,-73.2666,2026-06-26,10.21557,30.75217,8,8,0.5,0.0,0.494,6000.0,-41.91666|-41.83333|-41.75000,-73.41666|-73.33333|-73.25000|-73.16666,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
pilpilehue,Pilpilehue,-42.714997,-73.618097,2026-05-01,11.83451,32.57545,9,9,0.5,0.0,0.494,6000.0,-42.83333|-42.75000|-42.66666|-42.58333,-73.75000|-73.66666|-73.58333|-73.50000,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
pilpilehue,Pilpilehue,-42.714997,-73.618097,2026-05-02,11.77828,32.58765,9,9,0.5,0.0,0.494,6000.0,-42.83333|-42.75000|-42.66666|-42.58333,-73.75000|-73.66666|-73.58333|-73.50000,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
pilpilehue,Pilpilehue,-42.714997,-73.618097,2026-05-03,11.70045,32.57314,9,9,0.5,0.0,0.494,6000.0,-42.83333|-42.75000|-42.66666|-42.58333,-73.75000|-73.66666|-73.58333|-73.50000,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
pilpilehue,Pilpilehue,-42.714997,-73.618097,2026-05-04,11.68635,32.56935,9,9,0.5,0.0,0.494,6000.0,-42.83333|-42.75000|-42.66666|-42.58333,-73.75000|-73.66666|-73.58333|-73.50000,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
pilpilehue,Pilpilehue,-42.714997,-73.618097,2026-05-05,11.64418,32.5618,9,9,0.5,0.0,0.494,6000.0,-42.83333|-42.75000|-42.66666|-42.58333,-73.75000|-73.66666|-73.58333|-73.50000,GLOBAL_ANALYSISFORECAST_PHY_001_024,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,copernicus_marine_analysis_forecast_daily
