f_power,dz,pos_jitter,c550,omega,eta,blue__misfit,blue__level,blue__pattern,green__misfit,green__level,green__pattern,red__misfit,red__level,red__pattern,par__misfit,par__level,par__pattern
0.7,1.5,1.3333333333333333,0.85,0.55,2.0,0.6720124153885026,-0.3390652537971873,0.7584560261369284,0.44470907418106814,0.16003924532284153,0.665701425139048,2.2527119031259955,0.9021241330256,2.4008138134178836,0.41374956608062075,0.055093965042721404,0.6780726040966268
0.7,1.5,1.3333333333333333,0.85,0.8166666666666667,2.0,0.7879476986802436,0.7879006145257527,0.52277933476097,0.9878865997897505,0.9878596438536462,0.4902145619896179,2.186844819582254,2.1086834317430725,1.0937118314004943,0.9157500739530707,0.915415386031458,0.5116021562897639
0.7,1.5,1.3333333333333333,0.85,0.8166666666666667,-0.33333333333333326,1.2594937384794835,1.259466722769335,0.4801245800547711,1.1191946989836745,1.1191595381684618,0.41785499616753796,2.14813584526431,1.8944787585943996,0.8585968370124483,1.2121097516362842,1.212106135744556,0.4802623066411852
0.7,1.5,0.0,0.15,0.8166666666666667,-1.5,1.9134841257142332,1.9132862692197241,0.4559169583793646,1.743755613176747,1.7437324379445724,0.49726121605377804,2.6893246645068314,2.5953667113728733,0.6136493282783486,1.8527435702821138,1.8523430280881414,0.4552406680982954
0.7,1.5,0.0,0.15,0.55,-1.5,1.7625390017934763,1.7625388315281758,0.3896762150993663,1.571844786001198,1.5715967869836858,0.49625875953606086,2.4493740649111344,2.4186528286675486,0.7854306870815579,1.708622335336263,1.7086190270682924,0.3885168853789157
1.1,1.5,0.0,0.15,0.55,-1.5,1.9676151998942457,1.967587613720015,0.3879746991465762,1.7424097112034316,1.7423807909430007,0.5358812101585593,2.6200744571056913,2.606130583165588,0.675119678748153,1.8868107169784523,1.886796404082594,0.4223836422009461
1.1,1.5,0.0,0.15,0.55,0.833333333333333,1.8441211156283726,1.844102274018432,0.36435458518423924,1.7079508082343933,1.7079481200225994,0.42578586741159496,2.8373225874291452,2.8195607873539603,0.7902469823017224,1.8258385775610593,1.8258368505163167,0.362166666612347
1.1,1.5,1.3333333333333333,0.15,0.55,0.833333333333333,1.8847440962734014,1.884596369544488,0.4046216530616873,1.865380937951828,1.8653391028951196,0.4950989667978859,2.5128836208300633,2.512831162874944,1.1271093515724422,1.8900465096911783,1.8900200043062196,0.4615090276956559
1.1,1.5,1.3333333333333333,0.85,0.55,0.833333333333333,0.6257513304803612,0.5436953340740079,0.7901991984185542,0.6882001936035205,0.43329131752144456,0.7775670157375492,1.659700180261603,1.2855592226557815,1.2263846325154162,0.5726389110447264,0.5294013055186592,0.717016013106079
1.1,-0.16666666666666652,1.3333333333333333,0.85,0.55,0.833333333333333,0.46807994980155526,0.04616643929600463,0.6938793548552714,0.609730927068476,0.060927173661283224,0.8807978782264683,1.142154699356187,0.8817740103734986,1.1737425930299625,0.4705247095768268,0.11187977983751962,0.7033380204476664
0.7,0.6666666666666665,0.0,0.5,0.6833333333333333,-0.33333333333333326,1.2587013261485556,1.2586950992340804,0.4298956222891492,1.1068119120747897,1.1066630358052634,0.6281389813678734,2.078356485654187,1.9516336889459895,0.7517911965430475,1.241980518634557,1.2418089203998184,0.4208871387667315
1.1,0.6666666666666665,0.0,0.5,0.6833333333333333,-0.33333333333333326,1.5117633095926926,1.5117497826213002,0.4767623100305637,1.2974242487234113,1.2974228240489585,0.7707101223112922,2.2718498148829966,2.271777100816884,0.4868673139750046,1.464165008673356,1.4641350143894059,0.5192057340788483
1.1,0.6666666666666665,0.0,0.5,0.6833333333333333,2.0,1.1371314006985784,1.1368401756818503,0.5340706251377477,1.325440384955336,1.3253868419476402,0.6051209438249736,2.3927053087149703,2.2987216066626726,0.7873215715713625,1.234939976471529,1.2349053303835515,0.5834912674129618
1.1,0.6666666666666665,0.0,0.5,0.95,2.0,1.8703402000116895,1.8703401643573971,0.5050157660246664,1.9236785279708173,1.923640766675133,0.42890694277477037,2.884736633500252,2.884736605593318,0.746633160281321,1.8994286746876972,1.8994261327252402,0.4510543305809099
1.1,0.6666666666666665,0.0,1.2,0.95,2.0,1.2109889194873316,1.2033916142519736,0.6360967971881694,1.3931414148772274,1.3924894838581192,0.4382062719765082,2.821325968226989,2.753652236487211,0.6737777208636747,1.371966136088021,1.3719309920388163,0.41317905562348023
1.1,0.6666666666666665,1.3333333333333333,1.2,0.95,2.0,1.1771886459826277,1.17654307893384,0.610896234644593,1.5537742702154043,1.5447938383313708,0.6102414258235763,2.9817908768005723,2.55485751726572,0.866453874959936,1.430184179716521,1.4301839265145548,0.6647907261804139
1.1,-1.0,1.3333333333333333,1.2,0.95,2.0,0.8319598794351918,0.8315763105820623,0.6679743774866659,1.2999661770476028,1.2883102376344264,0.7248864575743207,2.4383822375518442,2.2414619500983006,1.028512391244298,1.0921171624206765,1.0920177308600594,0.6643361759388254
0.9,-1.0,1.3333333333333333,0.15,0.6833333333333333,2.0,1.6931012267841568,1.6930616791154591,0.5143107870810038,1.6955426527319606,1.6955330499896806,0.6449811093683057,2.5830834422191074,2.5830768332929552,0.6343133809918873,1.7224306819475184,1.7223845342350774,0.531310569640301
0.9,-1.0,1.3333333333333333,0.15,0.95,2.0,2.0188064584841254,2.018590082225314,0.5903409225227492,1.9006848143776862,1.900351335981989,0.5777237147022016,2.8693502126842487,2.8693143322628325,0.5427570361802917,2.0172269907744935,2.0164470456115717,0.5808682926801146
